,q6_answers,q36_answers,q37_answers,q39_answers,q12_answers,q13_answers,q22_answers,q23_answers,q31_answers,q34_answers
0,1,1.0,0,1.0,1.0,0,0,0.625,1.0,1.0
1,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
2,1,1.0,0,1.0,1.0,0,0,0.25,1.0,1.0
3,1,1.0,1,1.0,0.5,0,0,0.875,1.0,1.0
4,1,1.0,1,0.6666666666666666,0.5,0,0,0.25,1.0,0.66
5,1,1.0,0,1.0,1.0,0,0,0.25,1.0,0.66
6,0,0.5,0,1.0,1.0,0,0,0.5,1.0,0.66
7,1,1.0,0,1.0,1.0,0,1,0.375,1.0,0.66
8,1,1.0,1,1.0,1.0,0,0,0.375,1.0,1.0
9,1,1.0,1,0.6666666666666666,0.5,0,1,0.5,1.0,0.66
10,1,1.0,1,1.0,0.5,0,0,0.5,0.66,0.66
11,1,1.0,1,1.0,1.0,0,0,0.625,1.0,0.66
12,1,1.0,0,1.0,0.5,0,0,0.125,1.0,1.0
13,1,1.0,0,0.6666666666666666,1.0,0,0,0.625,1.0,1.0
14,1,1.0,1,0.6666666666666666,0.5,0,0,0.125,1.0,0.66
15,0,1.0,0,0.6666666666666666,1.0,0,0,0.625,0.33,1.0
16,0,1.0,0,1.0,0.5,0,0,0.25,1.0,0.66
17,1,1.0,0,1.0,1.0,0,0,0.25,1.0,1.0
18,1,1.0,0,1.0,0.5,0,0,0.125,0.66,1.0
19,1,0.5,0,0.3333333333333333,1.0,0,0,0.25,1.0,1.0
20,1,1.0,1,0.6666666666666666,1.0,0,1,0.125,1.0,0.66
21,1,1.0,1,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
22,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,1.0
23,0,0.5,0,1.0,1.0,0,0,0.125,0.33,0.33
24,1,1.0,0,1.0,1.0,0,1,0.5,1.0,1.0
25,1,0.5,1,1.0,0.5,0,0,0.5,0.66,0.33
26,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
27,1,1.0,0,0.3333333333333333,1.0,0,0,0.125,1.0,0.66
28,1,0.5,1,0.6666666666666666,1.0,0,0,0.25,1.0,1.0
29,0,1.0,1,0.6666666666666666,0.5,0,0,0.25,1.0,0.66
30,1,1.0,1,1.0,0.5,0,0,0.25,1.0,0.66
31,1,1.0,1,0.6666666666666666,1.0,0,1,0.375,0.33,0.66
32,1,0.5,1,0.3333333333333333,1.0,0,0,0.375,1.0,0.66
33,1,1.0,1,0.3333333333333333,1.0,0,0,0.375,1.0,0.66
34,0,1.0,0,0.3333333333333333,1.0,0,0,0.375,0.33,0.66
35,1,1.0,1,0.6666666666666666,0.5,0,0,0.375,1.0,0.66
36,1,1.0,1,1.0,0.5,0,0,0.125,0.66,0.66
37,1,0.5,0,0.6666666666666666,0.5,0,0,0.375,0.66,0.66
38,1,1.0,0,0.6666666666666666,1.0,0,0,0.25,1.0,1.0
39,1,1.0,1,0.0,1.0,0,0,0.125,1.0,1.0
40,1,1.0,1,1.0,0.5,0,0,0.125,1.0,1.0
41,1,0.5,1,0.6666666666666666,1.0,0,0,1.0,1.0,0.33
42,1,1.0,1,0.6666666666666666,1.0,1,0,0.375,1.0,0.66
43,1,1.0,1,0.6666666666666666,1.0,0,0,0.875,1.0,0.66
44,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
45,1,0.5,0,0.3333333333333333,1.0,0,0,0.25,0.66,1.0
46,1,0.5,1,0.6666666666666666,1.0,0,0,0.125,0.33,1.0
47,1,1.0,1,0.6666666666666666,0.5,0,0,0.125,1.0,0.66
48,1,1.0,0,0.6666666666666666,1.0,0,0,0.375,0.33,0.66
49,1,1.0,1,0.6666666666666666,0.5,0,0,0.5,0.66,1.0
50,1,1.0,1,0.6666666666666666,1.0,0,1,0.125,1.0,0.66
51,1,1.0,0,0.3333333333333333,0.5,0,0,0.125,0.66,0.66
52,1,0.5,1,0.3333333333333333,0.5,0,1,0.125,1.0,0.66
53,1,1.0,1,0.6666666666666666,0.5,0,0,0.25,0.66,0.66
54,1,1.0,1,0.3333333333333333,0.5,0,0,0.75,0.33,0.66
55,1,1.0,1,1.0,0.5,0,1,0.125,0.33,0.66
56,0,1.0,1,0.6666666666666666,0.5,0,0,0.125,0.66,0.66
57,1,0.0,0,1.0,1.0,0,1,0.125,0.33,0.66
58,1,1.0,0,0.6666666666666666,1.0,0,0,0.625,0.66,0.33
59,1,1.0,0,0.6666666666666666,1.0,0,0,0.125,1.0,0.66
60,1,0.5,1,1.0,1.0,0,0,0.125,1.0,0.66
61,1,0.0,0,0.6666666666666666,0.5,0,1,0.125,0.66,1.0
62,1,1.0,1,0.0,0.5,0,1,0.125,1.0,0.33
63,1,0.5,0,0.6666666666666666,0.5,0,1,0.125,0.66,0.33
64,1,1.0,0,0.6666666666666666,0.5,0,0,0.125,1.0,1.0
65,1,0.5,1,1.0,0.5,0,1,0.125,0.66,0.66
66,1,0.5,1,0.6666666666666666,0.5,0,0,0.125,0.66,0.66
67,1,0.5,1,1.0,1.0,0,0,0.25,0.0,1.0
68,0,1.0,0,0.0,0.0,0,0,0.5,0.66,1.0
69,1,0.0,1,0.3333333333333333,0.5,0,1,0.125,0.66,0.66
70,1,1.0,1,0.3333333333333333,1.0,0,1,0.25,0.33,0.33
71,0,1.0,1,0.3333333333333333,1.0,0,1,0.5,1.0,0.66
72,1,0.0,1,1.0,1.0,0,0,0.125,0.33,0.33
73,1,0.5,0,0.3333333333333333,0.5,0,1,0.25,0.33,0.66
74,1,0.0,1,0.3333333333333333,1.0,0,1,0.125,1.0,0.33
75,1,0.0,0,0.0,0.5,0,0,0.125,0.33,0.66
76,0,1.0,0,0.0,0.5,0,0,0.375,0.33,0.66
77,0,0.0,0,0.0,0.0,0,0,0.125,0.33,0.0
78,1,1.0,0,0.6666666666666666,1.0,0,0,0.375,0.0,0.0
